# ID, Campaign, Class, Class Probs (DSCUT, EA, EB, GDOR, Noise, OTHPER, RRab), Anomaly Score
202060421,0, Noise,0.021288,0.130433,0.161468,0.036764,0.248307,0.219961,0.181779,0.190476
202060422,0,  GDOR,0.011155,0.096964,0.017842,0.447776,0.203815,0.222448,0.000000,0.027397
202060423,0,OTHPER,0.012146,0.075246,0.079429,0.029432,0.007336,0.787042,0.009369,0.132075
202060425,0,OTHPER,0.000298,0.015357,0.001493,0.017729,0.031490,0.933439,0.000194,0.041667
202060428,0,OTHPER,0.037640,0.011153,0.005494,0.077086,0.279994,0.588566,0.000067,0.023891
202060437,0, Noise,0.029431,0.045433,0.010680,0.084030,0.446196,0.383920,0.000309,0.140684
202060439,0,    EB,0.011240,0.011829,0.795437,0.036383,0.011236,0.133762,0.000112,0.041667
202060443,0,OTHPER,0.004680,0.010583,0.012959,0.261179,0.127345,0.582745,0.000509,0.127820
202060447,0,    EB,0.000000,0.018802,0.978536,0.000000,0.000012,0.001776,0.000873,0.190476
202060460,0,OTHPER,0.001745,0.003521,0.000085,0.161607,0.319657,0.513385,0.000000,0.003344
202060461,0, DSCUT,0.648242,0.034266,0.008439,0.113705,0.095314,0.095256,0.004778,0.006711
202060463,0, DSCUT,0.369883,0.035673,0.058569,0.266127,0.072316,0.195796,0.001636,0.060071
202060468,0,OTHPER,0.016529,0.049358,0.011624,0.187730,0.273443,0.461227,0.000088,0.003344
202060471,0,OTHPER,0.036581,0.077144,0.151615,0.251849,0.023433,0.441164,0.018216,0.195219
202060476,0,OTHPER,0.003935,0.049473,0.002104,0.161867,0.230072,0.551979,0.000570,0.123596
202060483,0,OTHPER,0.002825,0.006334,0.001976,0.077547,0.188979,0.721965,0.000373,0.149425
202060488,0, Noise,0.006124,0.009403,0.006660,0.056166,0.664436,0.257085,0.000124,0.094891
202060490,0,OTHPER,0.005353,0.013586,0.015967,0.031369,0.123420,0.809811,0.000494,0.153846
202060496,0,OTHPER,0.001050,0.004861,0.002990,0.094846,0.156035,0.740154,0.000064,0.158301
202060503,0,OTHPER,0.126486,0.003692,0.004107,0.038869,0.336008,0.487571,0.003266,0.224490
202060505,0,OTHPER,0.024313,0.012029,0.022626,0.103667,0.197936,0.639322,0.000108,0.067616
202060506,0,    EB,0.002027,0.223377,0.687947,0.009352,0.022963,0.053182,0.001153,0.145038
202060509,0, Noise,0.000000,0.000387,0.000064,0.000254,0.938978,0.060318,0.000000,0.003344
202060510,0,OTHPER,0.000383,0.053474,0.027551,0.006032,0.394978,0.517522,0.000059,0.010101
202060512,0,OTHPER,0.000025,0.005944,0.000425,0.001261,0.181172,0.811114,0.000059,0.027397
202060514,0,OTHPER,0.016918,0.022829,0.078096,0.071767,0.013382,0.794323,0.002685,0.158301
202060515,0, Noise,0.007795,0.042168,0.001681,0.125662,0.490419,0.332176,0.000100,0.086957
202060516,0, Noise,0.000964,0.002569,0.000650,0.030647,0.482793,0.482311,0.000067,0.115242
